,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
4,D: 80% RE 2050 Mandate,2030,$100k-$125k,0.6186838530567108,0.7132733968245615,0.41688282609283045
5,D: 80% RE 2050 Mandate,2030,$125k-$150k,0.6925830853636878,0.7745279890259944,0.41710691138667366
6,D: 80% RE 2050 Mandate,2030,>$150k,0.6508380340193792,0.7947718288306574,0.33170898734411647
0,D: 80% RE 2050 Mandate,2035,<$25k,0.5739429685927236,0.6072338886666834,0.47147403419503175
1,D: 80% RE 2050 Mandate,2035,$25k-$50k,0.562459761983853,0.5229365099652561,0.4254903672647227
2,D: 80% RE 2050 Mandate,2035,$50k-$75k,0.512986850660264,0.5112585287948966,0.4064683794774083
3,D: 80% RE 2050 Mandate,2035,$75k-$100k,0.45174694874636023,0.5074944897198741,0.3464678281406211
4,D: 80% RE 2050 Mandate,2035,$100k-$125k,0.4432707450975804,0.535249243450975,0.3050119822873278
5,D: 80% RE 2050 Mandate,2035,$125k-$150k,0.4893522945994396,0.5753384663351756,0.30116655087662253
6,D: 80% RE 2050 Mandate,2035,>$150k,0.45484953989482985,0.586242937615067,0.23036701556950095
0,D: 80% RE 2050 Mandate,2040,<$25k,0.34110498805419875,0.3889985354944796,0.28034550415920595
1,D: 80% RE 2050 Mandate,2040,$25k-$50k,0.3379575900615488,0.33733832553287285,0.25396387025705625
2,D: 80% RE 2050 Mandate,2040,$50k-$75k,0.3038897669148269,0.32709882334440726,0.24103976244772102
3,D: 80% RE 2050 Mandate,2040,$75k-$100k,0.2690182550733265,0.32937706622643803,0.21417558915004287
4,D: 80% RE 2050 Mandate,2040,$100k-$125k,0.2642785280345458,0.3491843960464885,0.19237156209245618
5,D: 80% RE 2050 Mandate,2040,$125k-$150k,0.2901119947956765,0.3739488272288476,0.19048351130357763
6,D: 80% RE 2050 Mandate,2040,>$150k,0.26486126075456257,0.3781661399323067,0.14222149472570783
0,D: 80% RE 2050 Mandate,2045,<$25k,0.195290561564488,0.24737834183160068,0.162904760385674
1,D: 80% RE 2050 Mandate,2045,$25k-$50k,0.19292868896321527,0.2130083664097553,0.14615806117215102
2,D: 80% RE 2050 Mandate,2045,$50k-$75k,0.1818707396117831,0.21219902818919445,0.14507743954986882
