,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
5,E: 100% RE 2035 Mandate,2040,70-100%,0.005548211206079218,2.495874940179758e-14,0.002009166035292018
0,E: 100% RE 2035 Mandate,2045,0-10%,0.005524909381461107,8.80114517651083e-14,0.0017967358293340758
1,E: 100% RE 2035 Mandate,2045,10-20%,0.006493547264365682,5.051821770489824e-14,0.001999807759389131
2,E: 100% RE 2035 Mandate,2045,20-30%,0.007327746605982262,5.992233950140831e-14,0.002226677028468257
3,E: 100% RE 2035 Mandate,2045,30-50%,0.006765883809092426,8.220657511906615e-14,0.0021496719627011203
4,E: 100% RE 2035 Mandate,2045,50-70%,0.006763416581838421,1.0323824888379242e-13,0.0022556082399065457
5,E: 100% RE 2035 Mandate,2045,70-100%,0.005548211206079218,2.495874940179758e-14,0.002009166035292018
0,E: 100% RE 2035 Mandate,2050,0-10%,0.005790221488572889,1.454287185139821e-13,0.0018036085034117194
1,E: 100% RE 2035 Mandate,2050,10-20%,0.0072115392022311054,8.349256002822981e-14,0.002202360336070487
2,E: 100% RE 2035 Mandate,2050,20-30%,0.008360699847719083,9.902878390539436e-14,0.002547916835033346
3,E: 100% RE 2035 Mandate,2050,30-50%,0.0075831945630812055,1.3583895718272574e-13,0.0023963635994202243
4,E: 100% RE 2035 Mandate,2050,50-70%,0.007333128853573007,1.7058502727996527e-13,0.002405581179949143
5,E: 100% RE 2035 Mandate,2050,70-100%,0.005655036162522851,4.127060800642198e-14,0.0019377449563021528
0,F: 100% RE 2050 Mandate,2020,0-10%,0.9523704975243723,0.9658506975397445,0.7430460531539329
1,F: 100% RE 2050 Mandate,2020,10-20%,0.9461381903791307,0.8661012839343741,0.7187752469136323
2,F: 100% RE 2050 Mandate,2020,20-30%,0.9328344360785867,0.8662060037747323,0.69389651848109
3,F: 100% RE 2050 Mandate,2020,30-50%,0.8825666761104198,0.9050426734277669,0.7183997635265132
4,F: 100% RE 2050 Mandate,2020,50-70%,0.9757903078593237,1.0434482726041052,0.8440525756827731
5,F: 100% RE 2050 Mandate,2020,70-100%,1.1999410477388894,1.1514621812884767,1.123150622183166
0,F: 100% RE 2050 Mandate,2026,0-10%,0.7302862725206714,0.751244401051605,0.5623497404968332
1,F: 100% RE 2050 Mandate,2026,10-20%,0.7447337023017838,0.6825874742676593,0.5582743294267438
2,F: 100% RE 2050 Mandate,2026,20-30%,0.7413124359534201,0.6840981738069409,0.5399502779314765
3,F: 100% RE 2050 Mandate,2026,30-50%,0.6981292263557559,0.7126214047789418,0.5563551040575017
4,F: 100% RE 2050 Mandate,2026,50-70%,0.7817719768954556,0.8372754874891388,0.678281276699808
5,F: 100% RE 2050 Mandate,2026,70-100%,0.9750961293148234,0.9364037804601201,0.9211653139480664
0,F: 100% RE 2050 Mandate,2030,0-10%,0.49104922064152656,0.5323027036077461,0.379412942889757
1,F: 100% RE 2050 Mandate,2030,10-20%,0.5044369432827536,0.48445381076856364,0.375166740097405
2,F: 100% RE 2050 Mandate,2030,20-30%,0.5038092933424261,0.4882988988102248,0.36599062285722844
3,F: 100% RE 2050 Mandate,2030,30-50%,0.47271442133740754,0.5074253747666106,0.3751996747230657
4,F: 100% RE 2050 Mandate,2030,50-70%,0.5226932449225115,0.5881939410730096,0.4468051243999768
5,F: 100% RE 2050 Mandate,2030,70-100%,0.6429182959797712,0.6459245595015525,0.6002176848381243
0,F: 100% RE 2050 Mandate,2035,0-10%,0.2299155251214552,0.2833350720397789,0.17836951811553314
1,F: 100% RE 2050 Mandate,2035,10-20%,0.23789841171254084,0.2568870378975338,0.1737315755970209
2,F: 100% RE 2050 Mandate,2035,20-30%,0.23820854624534146,0.2608320189655133,0.17016743187011496
3,F: 100% RE 2050 Mandate,2035,30-50%,0.2230834855662445,0.271541394448499,0.17438682203741881
4,F: 100% RE 2050 Mandate,2035,50-70%,0.24360691649803246,0.3100269476658833,0.20454178313187515
5,F: 100% RE 2050 Mandate,2035,70-100%,0.28820908608068635,0.31650373273509314,0.24635944058612663
0,F: 100% RE 2050 Mandate,2040,0-10%,0.08550249793034102,0.13187722305026386,0.07123181082908982
1,F: 100% RE 2050 Mandate,2040,10-20%,0.08364997008768553,0.11542737244233434,0.06420668691935259
2,F: 100% RE 2050 Mandate,2040,20-30%,0.080849611467257,0.11601774748900988,0.06025199535093831
3,F: 100% RE 2050 Mandate,2040,30-50%,0.0771120519838396,0.12239591140393799,0.06368300285350234
4,F: 100% RE 2050 Mandate,2040,50-70%,0.08540507306735666,0.13931168486492523,0.07694831973254797
5,F: 100% RE 2050 Mandate,2040,70-100%,0.10145258280481413,0.13442611846694538,0.09160658214798349
0,F: 100% RE 2050 Mandate,2045,0-10%,0.027709008696528217,0.06227091753890398,0.02153513018114432
1,F: 100% RE 2050 Mandate,2045,10-20%,0.02561459113102172,0.05243508998816172,0.017540496433082624
2,F: 100% RE 2050 Mandate,2045,20-30%,0.024656358168645694,0.053773409404621435,0.01634992888707555
3,F: 100% RE 2050 Mandate,2045,30-50%,0.02412111284349284,0.05772163270708434,0.017815572822928814
4,F: 100% RE 2050 Mandate,2045,50-70%,0.026376437978418175,0.06467050564100117,0.021682122330821185
5,F: 100% RE 2050 Mandate,2045,70-100%,0.028515198958228252,0.05433528240903076,0.017914857933453782
0,F: 100% RE 2050 Mandate,2050,0-10%,0.0012594997350934669,4.468543616905338e-15,0.00047897834101824047
1,F: 100% RE 2050 Mandate,2050,10-20%,0.0014731180751432593,5.40529680637739e-15,0.0005073393976974535
2,F: 100% RE 2050 Mandate,2050,20-30%,0.0016021855969066278,4.4542568842725485e-15,0.0005465578006918345
3,F: 100% RE 2050 Mandate,2050,30-50%,0.0014147931296050152,3.704994569295618e-15,0.0004920564777653744
4,F: 100% RE 2050 Mandate,2050,50-70%,0.001319673002164697,2.5853157050662946e-15,0.00045952430960637553
5,F: 100% RE 2050 Mandate,2050,70-100%,0.0010298968233887803,4.563596176307682e-15,0.0003618753669616235
0,G: Low Carbon 2035 Mandate,2020,0-10%,0.9523704980097688,0.9658506975397445,0.7430460532575022
1,G: Low Carbon 2035 Mandate,2020,10-20%,0.9461381908214275,0.8661012839343741,0.7187752471755544
2,G: Low Carbon 2035 Mandate,2020,20-30%,0.9328344364732883,0.8662060037747323,0.6938965187516716
3,G: Low Carbon 2035 Mandate,2020,30-50%,0.8825666764095794,0.9050426734277669,0.7183997636845979
4,G: Low Carbon 2035 Mandate,2020,50-70%,0.9757903081896941,1.0434482726041052,0.8440525758086853
5,G: Low Carbon 2035 Mandate,2020,70-100%,1.1999410483335757,1.1514621812884767,1.1231506226135348
0,G: Low Carbon 2035 Mandate,2026,0-10%,0.7099180048669661,0.7372863937658682,0.544816986767495
1,G: Low Carbon 2035 Mandate,2026,10-20%,0.7250099307340633,0.6692758108909517,0.5417850426356494
2,G: Low Carbon 2035 Mandate,2026,20-30%,0.7211244863164469,0.6699111862814661,0.5215132216046624
3,G: Low Carbon 2035 Mandate,2026,30-50%,0.678170364714629,0.6982903270499722,0.5365597493997436
4,G: Low Carbon 2035 Mandate,2026,50-70%,0.7631666326667799,0.8238357364162998,0.6611826438383163
5,G: Low Carbon 2035 Mandate,2026,70-100%,0.9549115186014457,0.9214368760544801,0.9062002943321701
0,G: Low Carbon 2035 Mandate,2030,0-10%,0.1815492909199994,0.23994395913775587,0.13480252090964853
1,G: Low Carbon 2035 Mandate,2030,10-20%,0.1852163142592439,0.2157779663630095,0.13089668169691088
2,G: Low Carbon 2035 Mandate,2030,20-30%,0.18436054708996752,0.219629358165276,0.12757926108243506
