,Scenario,Year,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure,,,
5,F: 100% RE 2050 Mandate,2020,Non-Latinx White,0.97020613,0.926871175,0.773311984,,,
0,F: 100% RE 2050 Mandate,2026,Total,0.684137131,0.671580043,0.523403924,,,
1,F: 100% RE 2050 Mandate,2026,Black,0.899234528,0.909435632,0.604078592,,,
2,F: 100% RE 2050 Mandate,2026,Asian,0.484264617,0.570231866,0.311173871,,,
3,F: 100% RE 2050 Mandate,2026,Latinx/Hispanic,0.434169722,0.489773334,0.312488427,,,
4,F: 100% RE 2050 Mandate,2026,Indigenous,0.475177826,0.436386033,0.37306389,,,
5,F: 100% RE 2050 Mandate,2026,Non-Latinx White,0.764465115,0.733225136,0.606145197,,,
0,F: 100% RE 2050 Mandate,2030,Total,0.4618844,0.476003769,0.351483168,,,
1,F: 100% RE 2050 Mandate,2030,Black,0.60171,0.641660165,0.397791062,,,
2,F: 100% RE 2050 Mandate,2030,Asian,0.325108696,0.406132547,0.211277077,,,
3,F: 100% RE 2050 Mandate,2030,Latinx/Hispanic,0.297578215,0.357233938,0.220826193,,,
4,F: 100% RE 2050 Mandate,2030,Indigenous,0.332191227,0.323947723,0.279217121,,,
5,F: 100% RE 2050 Mandate,2030,Non-Latinx White,0.516640534,0.519089074,0.406828099,,,
0,F: 100% RE 2050 Mandate,2035,Total,0.216782435,0.252483717,0.162709954,,,
1,F: 100% RE 2050 Mandate,2035,Black,0.276919615,0.336601956,0.1781746,,,
2,F: 100% RE 2050 Mandate,2035,Asian,0.151543017,0.222790754,0.101860512,,,
3,F: 100% RE 2050 Mandate,2035,Latinx/Hispanic,0.147433295,0.207138628,0.116546156,,,
4,F: 100% RE 2050 Mandate,2035,Indigenous,0.168973767,0.184552238,0.152186619,,,
5,F: 100% RE 2050 Mandate,2035,Non-Latinx White,0.242680205,0.273791965,0.187378844,,,
0,F: 100% RE 2050 Mandate,2040,Total,0.077594232,0.114842333,0.061550223,,,
1,F: 100% RE 2050 Mandate,2040,Black,0.091803657,0.147459845,0.060529412,,,
2,F: 100% RE 2050 Mandate,2040,Asian,0.056865365,0.107561386,0.039865831,,,
3,F: 100% RE 2050 Mandate,2040,Latinx/Hispanic,0.056579242,0.104791124,0.047257645,,,
4,F: 100% RE 2050 Mandate,2040,Indigenous,0.065297997,0.088142695,0.068145498,,,
5,F: 100% RE 2050 Mandate,2040,Non-Latinx White,0.087541942,0.124196254,0.071438627,,,
0,F: 100% RE 2050 Mandate,2045,Total,0.024305588,0.053305205,0.017560486,,,
1,F: 100% RE 2050 Mandate,2045,Black,0.028696505,0.07284611,0.017748431,,,
2,F: 100% RE 2050 Mandate,2045,Asian,0.019978582,0.055690144,0.013284272,,,
3,F: 100% RE 2050 Mandate,2045,Latinx/Hispanic,0.020849984,0.054145254,0.016522554,,,
4,F: 100% RE 2050 Mandate,2045,Indigenous,0.020375227,0.038189599,0.018705845,,,
5,F: 100% RE 2050 Mandate,2045,Non-Latinx White,0.027014299,0.056003068,0.019888904,,,
0,F: 100% RE 2050 Mandate,2050,Total,0.00124267,4.20E-15,0.000445782,,,
1,F: 100% RE 2050 Mandate,2050,Black,0.001830513,2.12E-15,0.000599934,,,
2,F: 100% RE 2050 Mandate,2050,Asian,0.000971947,3.94E-15,0.000404588,,,
3,F: 100% RE 2050 Mandate,2050,Latinx/Hispanic,0.001185338,3.55E-15,0.000446253,,,
4,F: 100% RE 2050 Mandate,2050,Indigenous,0.000773621,6.25E-15,0.000264889,,,
5,F: 100% RE 2050 Mandate,2050,Non-Latinx White,0.001322115,4.97E-15,0.000476749,,,
0,G: Low Carbon 2035 Mandate,2020,Total,0.873246323,0.85343429,0.676462483,,,
1,G: Low Carbon 2035 Mandate,2020,Black,1.136139712,1.146074168,0.785651136,,,
2,G: Low Carbon 2035 Mandate,2020,Asian,0.651451805,0.749650562,0.445161068,,,
3,G: Low Carbon 2035 Mandate,2020,Latinx/Hispanic,0.603376967,0.66938785,0.465875544,,,
4,G: Low Carbon 2035 Mandate,2020,Indigenous,0.657279718,0.587579312,0.515088436,,,
5,G: Low Carbon 2035 Mandate,2020,Non-Latinx White,0.970206131,0.926871175,0.773311984,,,
